,inspect_name,address,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated,yelp_categories,yelp_name,yelp_id,yelp_price,yelp_url,yelp_transactions,yelp_phone,yelp_rating,yelp_reviews,google_name,google_id,google_rating,google_reviews,google_price,agg_rating,total_reviews
10,801 CHOP HOUSE,"801 Nicollet Mall Suite #100, Minneapolis, MN 55402, United States",44.97559,-93.2728,"[337401, 341655]","['2020/01/16', '2020/01/29']","['Routine', 'Follow-Up']","[76, 96]","Fri, Mar 13, 2020 at 02:49 AM","['Steakhouses', 'Wine Bars']",801 Chophouse,K61BTsqEGaMJrJmDgk4mGA,,https://www.yelp.com/biz/801-chophouse-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 230-2467,4.0,23.0,801 Chophouse Minneapolis,ChIJDzvTDlIzs1IRyAINF_Atyc0,4.6,47,,4.4,70.0
11,8TH STREET GRILL & TAVERN,"800 S Marquette Ave #107, Minneapolis, MN 55402, United States",44.97559,-93.2728,"[44781, 200977, 200976, 251758, 310357]","['2017/05/30', '2017/07/12', '2018/05/22', '2019/05/14', '2019/06/13']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[94, 100, 96, 90, 96]","Fri, Mar 13, 2020 at 02:49 AM","['American (Traditional)', 'Sports Bars', 'Burgers']",8th Street Grill & Taphouse,fDT67SxP8kFsHLIaWuuSXA,$$,https://www.yelp.com/biz/8th-street-grill-and-taphouse-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 349-5717,3.0,157.0,8th Street Grill,ChIJFYana5cys1IRrB-CQEt0Pwk,4.2,770,2.0,4.0,927.0
12,ABI'S CAFE,"1532 E Lake St, Minneapolis, MN 55407, United States",44.94865,-93.25206,"[51412, 203606, 203605, 263812, 263811, 322493]","['2017/07/08', '2017/08/28', '2018/08/08', '2018/08/28', '2019/08/07', '2019/09/04']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[98, 100, 94, 100, 80, 100]","Fri, Mar 13, 2020 at 02:49 AM","['Mexican', 'Salvadoran', 'Cafes']",Abi's Cafe,pI3tkzbG7vdOwAD7NcGjXA,$,https://www.yelp.com/biz/abis-cafe-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['pickup', 'delivery']",(612) 721-0013,4.5,45.0,Abi's cafe,ChIJQx3KbAQo9ocRTLNcseDfoQ0,4.8,145,1.0,4.73,190.0
13,ACADIA CAFE,"329 Cedar Ave, Minneapolis, MN 55454, United States",44.97027,-93.24694,"[51453, 232244, 232243, 278698, 278697, 336675]","['2017/11/01', '2017/12/11', '2018/11/01', '2018/12/06', '2019/11/04', '2019/12/12']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[84, 100, 96, 100, 86, 92]","Fri, Mar 13, 2020 at 02:49 AM",['Pubs'],Acadia,KLrPydfM0PCoJqB6MM_VPA,$,https://www.yelp.com/biz/acadia-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 874-8702,3.5,119.0,Acadia,ChIJvZgyRUIts1IR8Sf9NXUQO9k,4.3,455,1.0,4.13,574.0
14,ADELITAS MEXICAN RESTAURANT,"2405 Central Ave NE, Minneapolis, MN 55418, United States",45.01243,-93.24694,"[124215, 124214, 232693, 232692, 278430, 336509]","['2017/04/27', '2017/11/03', '2017/12/15', '2018/10/25', '2019/10/25', '2019/12/06']","['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[100, 96, 100, 92, 88, 98]","Fri, Mar 13, 2020 at 02:49 AM",['Mexican'],Adelita's Mexican Restaurant,RnhRbBzhvUEZ3-QQlXHiKg,$$,https://www.yelp.com/biz/adelitas-mexican-restaurant-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 789-2526,3.5,97.0,Adelita's | Mexican Restaurant,ChIJJ51QVuots1IR16zzCbR65PM,3.9,631,2.0,3.85,728.0
15,AFRO DELI & GRILL,"720 Washington Ave SE, Minneapolis, MN 55414, United States",44.97555,-93.271,"[332536, 338549]","['2019/12/09', '2020/01/06']","['Routine', 'Follow-Up']","[90, 92]","Fri, Mar 13, 2020 at 02:49 AM","['Mediterranean', 'African', 'Delis']",Afro Deli,t4czYH8e7GqUbJE8DFQ0RA,,https://www.yelp.com/biz/afro-deli-minneapolis-7?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(612) 584-4242,4.5,4.0,Afro Deli & Grill: Minneapolis,ChIJA0QhW0Ets1IRNP8Kas5fdBY,4.6,564,1.0,4.6,568.0
16,AFRO DELI AND COFFEE LLC,"720 Washington Ave SE, Minneapolis, MN 55414, United States",44.97333,-93.22759,"[191908, 197629, 249117, 253691, 249116]","['2017/05/03', '2018/05/02', '2018/06/29', '2018/08/10', '2019/05/01']","['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']","[94, 80, 90, 100, 98]","Fri, Mar 13, 2020 at 02:49 AM","['Sandwiches', 'Mediterranean', 'Somali']",Afro Deli,Tll050QQPiP01ey2or72CQ,$,https://www.yelp.com/biz/afro-deli-minneapolis-6?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(612) 871-5555,4.5,185.0,Afro Deli & Grill: Minneapolis,ChIJA0QhW0Ets1IRNP8Kas5fdBY,4.6,564,1.0,4.58,749.0
17,AGRA CULTURE,"3717 W 50th St, Minneapolis, MN 55410, United States",44.91218,-93.3274,"[51862, 181245, 51863, 228030, 236466, 281362, 281361]","['2017/01/04', '2017/02/22', '2017/10/04', '2017/11/07', '2018/12/11', '2019/02/12', '2020/01/02']","['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[94, 96, 76, 88, 90, 98, 98]","Fri, Mar 13, 2020 at 02:49 AM","['Gluten-Free', 'Vegetarian', 'Juice Bars & Smoothies']",Agra Culture,VX63vlZNG8IUEmrG8w5kmg,$$,https://www.yelp.com/biz/agra-culture-minneapolis-7?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 345-5442,3.5,246.0,Agra Culture Kitchen,ChIJLQpzSdgm9ocRCs92xPo-c4w,4.3,338,2.0,3.96,584.0
18,AGRA CULTURE,"2400 3rd Ave S, Minneapolis, MN 55404, United States",44.95821,-93.27404,"[51859, 188599, 237554, 237553, 287838]","['2017/01/19', '2018/01/09', '2018/03/08', '2019/01/15', '2020/01/15']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Routine']","[96, 86, 92, 94, 92]","Fri, Mar 13, 2020 at 02:49 AM","['Juice Bars & Smoothies', 'Salad', 'Sandwiches']",Agra Culture,QZpYuuvX8LzDl6L9bu6Mnw,$$,https://www.yelp.com/biz/agra-culture-minneapolis-6?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 870-3180,3.0,15.0,Agra Culture Kitchen Mia ( Minneapolis Institute of Art),ChIJT0k6WbEys1IREQ1dWsStA9g,3.7,32,,3.48,47.0
19,AGRA CULTURE,"2939 Girard Ave S, Minneapolis, MN 55408, United States",44.94885,-93.29663,"[11079, 242989, 291219]","['2017/10/28', '2019/01/15', '2020/01/09']","['Routine', 'Routine', 'Routine']","[100, 96, 94]","Fri, Mar 13, 2020 at 02:49 AM","['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Sandwiches']",Agra Culture,VshVrQ2HmT5kvwA7gmwVcA,$$,https://www.yelp.com/biz/agra-culture-minneapolis-5?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['pickup', 'delivery']",(612) 315-3349,3.0,37.0,Agra Culture Kitchen,ChIJSRBsloEn9ocRr2gWJwpsJyk,4.2,219,2.0,4.03,256.0
20,AH SA WAN,"121 S 8th St #225, Minneapolis, MN 55402, United States",44.97441,-93.27109,"[51905, 224895, 272107]","['2017/09/07', '2018/09/12', '2019/08/28']","['Routine', 'Routine', 'Routine']","[96, 100, 94]","Fri, Mar 13, 2020 at 02:49 AM",['Chinese'],Ah Sa Wan,RyJjLyo4bDKGaBC_vTcnXg,$,https://www.yelp.com/biz/ah-sa-wan-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 332-9190,3.0,14.0,Ah SA Wan,ChIJhYFdZpcys1IRptiiDQbTqzQ,4.4,57,1.0,4.12,71.0
21,AHLAN RESTAURANT,"2401 E Franklin Ave, Minneapolis, MN 55406, United States",44.96248,-93.23747,"[329054, 337393, 340522]","['2019/11/08', '2020/01/09', '2020/01/23']","['Routine', 'Follow-Up', 'Follow-Up']","[84, 84, 92]","Fri, Mar 13, 2020 at 02:49 AM",['Somali'],Ahlan,Pl2hAa4Ffeu6diBzttjLXA,,https://www.yelp.com/biz/ahlan-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",,3.0,1.0,Ahlan Restaurant,ChIJBaA_EBkts1IRpYVapyQcQXA,4.6,5,,4.33,6.0
22,AKIS BREAD HAUS,"2506 Central Ave NE, Minneapolis, MN 55418, United States",45.01356,-93.24788,"[51989, 205351, 259438]","['2017/07/06', '2018/07/23', '2019/07/18']","['Routine', 'Routine', 'Routine']","[96, 96, 98]","Fri, Mar 13, 2020 at 02:49 AM",['Bakeries'],Aki's Bread Haus,7btNlZdCSepKnXjb_m29wQ,$,https://www.yelp.com/biz/akis-bread-haus-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 578-7897,5.0,46.0,Aki's Bread Haus,ChIJjxYxyusts1IRBVfjRsEQPNY,4.9,210,1.0,4.92,256.0
23,AKWAABA,"1823 Nicollet Ave, Minneapolis, MN 55403, United States",44.96459,-93.27744,"[52038, 197554, 197553, 247742]","['2017/04/28', '2017/06/29', '2018/04/10', '2019/04/15']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[98, 100, 98, 100]","Fri, Mar 13, 2020 at 02:49 AM",['African'],Akwaaba Restaurant,OdwtcXNV_pkWf5DcEEvrVw,$$,https://www.yelp.com/biz/akwaaba-restaurant-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 872-4414,3.5,17.0,Akwaaba Restaurant,ChIJeWiWVrgys1IRU4qbUumn1mY,4.0,152,,3.95,169.0
24,ALL SQUARE,"4047 Minnehaha Ave, Minneapolis, MN 55406, United States",44.92893,-93.2196,"[270812, 280351]","['2018/11/27', '2019/11/27']","['Routine', 'Routine']","[94, 92]","Fri, Mar 13, 2020 at 02:49 AM",['American (Traditional)'],All Square,MGm1jcjQZBfHv-epHOciQQ,$,https://www.yelp.com/biz/all-square-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 787-7164,4.5,56.0,All Square,ChIJzUXwHk0o9ocRwYevotjgHlY,4.9,335,1.0,4.84,391.0
25,ALLE AAMIN COFFEE SHOP,"609 Cedar Ave, Minneapolis, MN 55454, United States",44.96738,-93.24687,"[59125, 213894, 213893, 265721, 265720, 325066]","['2017/08/04', '2017/10/24', '2018/08/15', '2018/10/11', '2019/08/15', '2019/10/09']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[80, 100, 82, 98, 88, 98]","Fri, Mar 13, 2020 at 02:49 AM","['Coffee & Tea', 'Sandwiches', 'African']",Alle Aamin Coffee Shop,oNZKVYDX28r6oGJgR25raw,$,https://www.yelp.com/biz/alle-aamin-coffee-shop-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 339-9369,4.5,3.0,Alle Aamin Coffee Shop,ChIJMSHeYkQts1IRKFYiM4l0JBY,4.5,45,,4.5,48.0
26,ALLIES RAND DELI & CATERING,"527 S Marquette Ave #205, Minneapolis, MN 55402, United States",44.97733,-93.26956,"[59158, 228216, 228215, 275134, 275133]","['2017/10/06', '2017/11/06', '2018/10/09', '2018/12/06', '2019/10/09']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[88, 100, 90, 100, 100]","Fri, Mar 13, 2020 at 02:49 AM","['Delis', 'Sandwiches']",Allie's Deli & Catering,VMUVhCMwPFFhnRp9EED8lA,$,https://www.yelp.com/biz/allies-deli-and-catering-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 333-6425,4.5,133.0,Allie's Deli & Catering,ChIJTSGePpoys1IROStgCCmBfE0,4.8,125,1.0,4.65,258.0
27,ALOHA POKE CO,"811 Lasalle Ave suite 201, Minneapolis, MN 55402, United States",44.97592,-93.27444,"[246581, 251402, 251401]","['2018/05/21', '2018/06/14', '2019/05/07']","['Routine', 'Follow-Up', 'Routine']","[88, 100, 96]","Fri, Mar 13, 2020 at 02:49 AM",['Poke'],Aloha Poke,V1WrmR9JOEWdNa1Mr8fZyA,$$,https://www.yelp.com/biz/aloha-poke-minneapolis-5?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 353-6204,4.5,32.0,Aloha Poke Co,ChIJ3V7xyJYys1IRJDlyKnNm7tM,3.6,123,2.0,3.79,155.0
28,ALS BREAKFAST,"413 14th Ave SE, Minneapolis, MN 55414, United States",44.98101,-93.23569,"[59243, 201208, 205347, 201207, 252901, 252900, 314465]","['2017/06/02', '2017/07/18', '2017/09/20', '2018/06/18', '2018/08/01', '2019/06/18', '2019/07/23']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[80, 92, 98, 90, 96, 90, 94]","Fri, Mar 13, 2020 at 02:49 AM","['Diners', 'Breakfast & Brunch']",Al's Breakfast,fLFHwZe2DSgK98s3SKhWdw,$$,https://www.yelp.com/biz/als-breakfast-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 331-9991,4.0,508.0,Al's Breakfast,ChIJ8_mZkhEts1IRiFtvRB5u5iM,4.7,1014,1.0,4.47,1522.0
29,AMAZING THAILAND,"3024 Hennepin Ave, Minneapolis, MN 55408, United States",44.94744,-93.29867,"[59348, 229841, 236553, 242956, 229840, 276983, 276982]","['2017/10/13', '2017/12/19', '2018/02/12', '2018/03/21', '2018/10/19', '2018/11/30', '2019/10/31']","['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[82, 90, 90, 100, 88, 100, 96]","Fri, Mar 13, 2020 at 02:49 AM",['Thai'],Amazing Thailand,l5BS7mKuNQDjslY1ufGfJA,$$,https://www.yelp.com/biz/amazing-thailand-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,[],(612) 822-5588,3.5,466.0,Amazing Thailand,ChIJzwHFqXgn9ocRNKJKuLayNlo,4.2,1096,2.0,3.99,1562.0
30,AMORE UPTOWN,"1601 W Lake St, Minneapolis, MN 55408, United States",44.94807,-93.30246,"[10452, 10453, 223052, 230519, 223051, 271524, 277706, 271523]","['2017/01/26', '2017/08/23', '2017/10/19', '2017/12/22', '2018/09/07', '2018/10/26', '2018/12/21', '2019/09/06']","['Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']","[96, 86, 94, 100, 92, 98, 98, 100]","Fri, Mar 13, 2020 at 02:49 AM","['Italian', 'Wine Bars', 'Breakfast & Brunch']",Amore Uptown,HBJdSsbf_GGFtt0D-rX4bg,$$,https://www.yelp.com/biz/amore-uptown-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 823-0250,3.5,145.0,Amore Uptown,ChIJOfP6t34n9ocRUXIY_JtsWI0,4.3,593,2.0,4.14,738.0
31,ANDREA PIZZA,"225 South 6th St, Minneapolis, MN 55402, United States",44.976,-93.26826,"[10625, 203029, 203028, 254564]","['2017/06/29', '2017/07/17', '2018/07/12', '2019/07/01']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[92, 100, 98, 92]","Fri, Mar 13, 2020 at 02:49 AM","['Pizza', 'Italian']",Andrea Pizza,Xawpkbx359DhPJ0p1Bke1w,$,https://www.yelp.com/biz/andrea-pizza-minneapolis-3?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 223-8474,4.5,14.0,Andrea Pizza,ChIJoeUKnJsys1IR8obYhj9EaqQ,4.7,74,1.0,4.67,88.0
